Medu,Fedu,studytime,health,absences,G1,G2,G3,Gtotal
5,5,2,3,4,0,11,11,22
2,2,2,3,2,9,11,11,31
2,2,2,3,6,12,13,12,37
5,3,3,5,0,14,14,14,42
4,4,2,5,0,11,13,13,37
5,4,2,5,6,12,12,13,37
3,3,2,3,0,13,12,13,38
5,5,2,1,2,10,13,13,36
4,3,2,1,0,15,16,17,48
4,5,2,5,0,12,12,13,37
5,5,2,2,2,14,14,14,42
3,2,3,4,0,10,12,13,35
5,5,1,5,0,12,13,12,37
5,4,2,3,0,12,12,13,37
3,3,3,3,0,14,14,15,43
5,5,1,2,6,17,17,17,51
5,5,3,2,10,13,13,14,40
4,4,2,4,2,13,14,14,41
4,3,1,5,2,8,8,7,23
5,4,1,5,6,12,12,12,36
5,4,2,1,0,12,13,14,39
5,5,1,5,0,11,12,12,35
5,3,2,5,0,12,13,14,39
3,3,2,5,2,10,10,10,30
3,5,3,5,2,10,11,10,31
3,3,1,5,6,10,11,12,33
3,3,1,5,8,11,12,12,35
5,3,1,1,0,11,11,11,33
4,5,2,5,2,12,12,13,37
5,5,2,5,4,12,11,12,35
5,5,2,5,0,10,11,11,32
5,5,2,5,2,15,15,15,45
5,4,2,5,0,13,14,15,42
4,4,2,2,0,13,12,12,37
4,3,1,5,4,12,12,12,36
3,4,1,5,4,11,11,11,33
5,4,3,4,0,14,14,14,42
5,5,3,5,4,13,13,13,39
4,5,3,5,2,11,12,12,35
3,3,1,2,8,14,13,12,39
3,3,2,3,16,11,11,10,32
5,5,1,5,8,10,11,11,32
5,5,2,5,0,14,15,15,44
3,3,1,1,0,9,10,10,29
3,3,2,5,14,10,11,11,32
5,4,2,5,4,10,11,11,32
4,4,2,3,6,13,12,13,38
5,4,4,2,2,17,17,17,51
5,3,2,5,4,11,12,13,36
5,5,2,3,2,13,12,12,37
3,3,2,4,0,14,13,13,40
5,3,2,5,0,16,14,16,46
5,3,1,5,4,10,9,9,28
5,5,1,5,0,13,12,12,37
4,4,1,1,0,13,12,13,38
3,2,2,2,2,12,13,12,37
5,4,2,1,0,15,14,15,44
5,5,2,5,8,15,15,16,46
2,3,2,5,0,14,13,14,41
5,3,2,5,2,16,15,16,47
5,5,2,4,0,17,16,16,49
2,2,1,5,0,10,10,16,36
2,3,2,1,0,13,13,10,36
5,4,3,4,0,14,13,13,40
5,4,2,2,0,13,12,12,37
5,4,2,1,2,16,15,16,47
5,5,4,3,0,11,12,12,35
4,2,4,5,0,10,9,10,29
3,3,2,4,0,11,10,11,32
4,2,4,3,6,15,15,15,45
4,2,4,5,2,13,11,11,35
5,3,4,3,0,11,9,10,30
2,2,2,5,2,13,11,11,35
4,2,1,5,0,13,13,14,40
4,4,2,5,4,11,11,11,33
5,4,2,5,0,11,11,11,33
5,1,4,1,0,12,11,11,34
3,3,4,3,1,13,13,13,39
3,2,1,3,0,9,9,10,28
4,5,2,3,14,12,11,11,34
3,4,1,3,0,11,11,12,34
3,4,3,5,2,10,9,9,28
4,3,2,5,4,12,11,11,34
3,3,2,4,2,13,12,13,38
2,2,2,4,2,13,12,12,37
5,5,2,5,4,12,11,12,35
3,3,2,2,6,13,11,11,35
5,3,3,1,4,15,15,15,45
3,3,2,3,6,12,10,11,33
5,5,2,5,6,9,9,10,28
4,4,3,4,2,9,11,11,31
5,4,1,1,6,14,13,13,40
4,2,2,2,0,12,13,12,37
5,3,2,1,2,13,14,14,41
3,3,4,4,2,11,12,12,35
2,2,4,1,4,13,13,13,39
5,4,1,4,6,9,11,11,31
3,2,2,5,0,13,12,12,37
5,5,1,1,4,12,13,13,38
5,4,3,3,2,12,13,13,38
5,5,1,4,12,9,9,8,26
5,5,3,4,0,16,16,16,48
5,5,1,5,2,12,13,12,37
4,3,2,2,16,11,10,10,31
4,5,2,1,0,16,16,16,48
4,4,4,4,10,10,10,10,30
3,3,4,3,4,10,10,10,30
4,4,3,5,4,13,14,14,41
5,5,4,1,8,12,10,11,33
5,5,3,4,2,15,15,14,44
5,5,1,4,4,13,14,14,41
4,4,3,2,4,11,11,11,33
3,3,2,5,12,8,10,10,28
5,3,1,3,10,18,17,18,53
3,2,2,5,4,10,9,10,29
5,5,2,5,6,16,14,14,44
5,5,2,2,4,16,15,16,47
4,4,1,5,6,14,14,15,43
2,4,2,5,14,12,11,11,34
4,5,1,4,2,14,13,14,41
2,3,2,1,0,14,14,14,42
3,3,4,5,6,14,13,13,40
3,5,2,5,2,14,12,13,39
5,5,1,5,4,12,13,13,38
3,3,2,5,0,12,11,11,34
4,5,1,5,2,9,9,9,27
4,5,2,1,0,10,11,11,32
1,2,2,5,0,9,10,11,30
5,5,1,4,8,14,14,15,43
3,4,3,1,4,13,12,13,38
4,5,3,5,0,10,11,12,33
3,2,2,5,10,10,9,8,27
3,2,1,5,8,11,10,11,32
2,2,1,4,6,11,12,13,36
3,3,1,5,2,13,12,12,37
4,5,1,5,12,15,13,14,42
3,2,1,2,4,9,9,11,29
3,3,1,5,12,13,11,11,35
4,5,2,5,2,12,11,11,34
5,5,3,5,4,13,14,15,42
4,5,2,5,2,10,9,10,29
2,2,2,3,0,14,13,13,40
4,2,1,4,2,11,11,12,34
4,3,3,5,10,12,11,11,34
2,2,1,1,8,12,11,11,34
4,4,1,5,4,9,9,10,28
2,2,2,5,0,10,10,10,30
5,5,1,5,6,13,14,14,41
2,2,1,1,2,8,9,9,26
5,4,4,3,6,9,11,11,31
4,4,2,1,24,9,8,9,26
5,5,3,5,0,15,13,13,41
3,3,1,2,4,12,11,11,34
5,5,3,5,2,13,13,13,39
2,2,1,1,4,10,11,11,32
3,2,1,5,22,9,7,6,22
2,2,2,5,0,12,12,12,36
3,2,1,5,0,11,10,10,31
4,3,2,3,2,11,11,11,33
2,3,2,5,6,13,12,13,38
2,3,2,1,6,11,11,11,33
5,5,1,5,16,9,9,8,26
3,2,1,5,0,12,11,11,34
2,2,1,4,0,11,9,0,20
3,2,1,5,6,9,10,10,29
4,4,3,3,2,13,13,13,39
4,3,1,4,6,11,9,11,31
5,5,1,4,0,13,13,13,39
3,4,2,1,0,7,8,8,23
2,3,1,5,14,9,8,10,27
2,2,1,4,6,11,10,11,32
3,3,1,3,4,12,10,11,33
4,4,2,5,0,10,10,1,21
2,3,1,5,0,9,8,10,27
3,2,1,5,8,8,8,9,25
4,3,2,3,4,7,6,8,21
2,3,1,5,2,8,9,10,27
2,4,1,2,2,9,8,8,25
2,2,2,5,0,8,8,8,24
4,3,1,2,10,8,7,8,23
3,3,2,4,0,9,10,11,30
5,3,2,3,0,17,17,18,52
3,3,2,4,0,12,12,13,37
5,5,2,3,0,16,16,17,49
4,5,1,2,4,9,9,10,28
2,1,2,3,0,16,17,18,51
5,5,2,5,0,11,9,10,30
2,4,2,3,0,14,13,13,40
4,4,2,4,0,14,14,15,43
5,4,2,4,0,10,11,11,32
3,3,2,5,0,13,12,14,39
4,4,2,4,4,11,9,10,30
5,3,1,3,8,10,9,11,30
5,4,2,2,4,11,11,13,35
5,4,2,3,4,11,10,11,32
4,4,2,3,0,11,12,13,36
3,5,2,5,0,17,18,17,52
4,4,2,1,32,14,13,14,41
4,3,2,1,8,14,15,16,45
4,4,2,4,6,11,13,14,38
2,3,1,3,0,10,9,11,30
3,2,2,5,0,13,14,16,43
4,4,2,3,10,12,13,14,39
2,3,2,3,6,9,9,10,28
3,4,2,2,6,12,12,13,37
2,2,2,3,0,12,11,12,35
2,3,2,5,16,10,11,12,33
4,4,1,5,0,11,10,10,31
3,4,1,3,0,13,12,12,37
3,5,2,5,8,14,15,16,45
5,5,1,5,4,13,13,14,40
4,4,1,3,16,10,11,12,33
5,5,1,2,30,14,15,16,45
5,5,2,3,0,11,10,11,32
5,4,2,2,2,14,14,15,43
3,4,2,4,4,11,12,12,35
2,2,2,1,0,14,15,15,44
3,3,1,3,21,13,13,13,39
3,3,4,5,6,13,13,13,39
4,5,3,5,14,8,9,8,25
